id       ss  st  nc  haslink                P              O5'              C5'              C4'              C3'           -1:O3'              C2'              C1'               N9               N1               X1               X2               X3               X4               X5               X6             XC4'             XC3'             XO3'
0   Helix      0   P  h5        -70.5758665805   -67.0551636105   173.4441981983    56.5055334563    80.3521007546                -    40.3770560144    89.6392455729   -97.4822288534                -                -                -                -                -                -                -                -                -                -
1   Helix      0   p  h5        -70.5758665805   -67.0551636105   173.4441981983    56.5055334563    80.3521007546                -    40.3770560144    89.6392455729                -    83.6055657431                -                -                -                -                -                -                -                -                -
2   Helix      0   p  h         -70.5758665805   -67.0551636105   173.4441981983    56.5055334563    80.3521007546  -150.9941586984    40.3770560144    89.6392455729                -    83.6055657431                -                -                -                -                -                -                -                -                -
3   Helix      0   P  h         -70.5758665805   -67.0551636105   173.4441981983    56.5055334563    80.3521007546  -150.9941586984    40.3770560144    89.6392455729   -97.4822288534                -                -                -                -                -                -                -                -                -                -
4  Helix      0   P  hEXe   -61.8347134241   -76.9922419095  -172.0332040592    56.4805930205    80.1455216832  -163.8937905687    40.5133592695    89.4759972215   -99.1091000000                -    41.8464960823    57.3715672921    27.3322945771   129.2460577395   112.9721416645    30.8642178403  -131.3778280814  -116.7107481596  -154.2801217270
5  Helix      0   p  hEXe   -61.8347134241   -76.9922419095  -172.0332040592    56.4805930205    80.1455216832  -163.8937905687    40.5133592695    89.4759972215                -    80.8908660764    41.8464960823    57.3715672921    27.3322945771   129.2460577395   112.9721416645    30.8642178403  -131.3778280814  -116.7107481596  -154.2801217270
6  Helix      0   P  hexe       -13.0681480050   133.9784089475  -168.0459172066  -173.7113678779    82.5694806876                -    39.8621075623    87.2040099262   -97.7645342322                -                -                -                -                -                -                -                -                -                -
7  Helix      0   p  hexe       -13.0681480050   133.9784089475  -168.0459172066  -173.7113678779    82.5694806876                -    39.8621075623    87.2040099262                -    82.2355000000                -                -                -                -                -                -                -                -                -
